Class,_rlnAccuracyRotations,_rlnAccuracyTranslations,_rlnEstimatedResolution,Average SSNR Map,Average Reference Sigma2,Average SpectOriContrib,_rlnOverallFourierCompleteness,Average Fourier Completeness,Average Reference Tau2,Selection
Class1,999,999,15.432,762.090754424242,5.61857874545455E-06,0,1,0.525942636363636,0.015377861845882,0
Class2,3.15,0.3,7.716,6398.85250924242,6.81777237272727E-08,0.030303088255,1,1,0.000527536624905,1
Class3,2.8,0.58,9.496615,3566.5007000303,1.1788354930303E-07,0.030303150547273,1,0.816477272727273,0.00119450005281,0
Class4,2.6,0.3,7.716,3637.05822039394,1.1456008069697E-07,0.030303027428485,1,1,0.000503991670975,1
Class5,999,999,18.99323,175.797013439103,5.81472853636364E-05,0,0.999968,0.431004363636364,0,0
Class6,3.65,0.66,11.757714,2585.44352318182,1.19911899484848E-07,0.030302999777727,1,0.678297060606061,0.000757150184476,0
Class7,999,999,20.575999,78.7110380615727,0.000170508531515,0,0.97229,0.387394909090909,0,0
Class8,999,999,24.691199,23.3086172000103,0.000362706151515,0.030302987234515,0.966895,0.329189848484848,0,0
Class9,3.6,0.34,7.716,6472.31536778788,5.80773276363636E-08,0.030303033370909,1,1,0.000493367204249,1
Class10,2.75,0.3,7.716,3355.09306751515,1.24765830606061E-07,0.030303051735758,1,1,0.000518538125809,1
Class11,999,999,17.636571,299.621482725727,3.89350370909091E-05,0,1,0.461484666666667,0,0
Class12,2.35,0.43,7.716,2757.6942050303,1.08184549333333E-07,0.030303075769697,1,1,0.000568063791114,1
Class13,2.9,0.48,8.514207,4509.51579139394,6.44952551515152E-08,0.030303014285455,1,0.909090909090909,0.000612827959989,1
Class14,999,999,17.636571,158.783437494618,0.000136019079394,0.030302968990812,0.964878,0.419515363636364,0,0
Class15,2.18,0.41,7.716,4163.97196327273,7.78509762424242E-08,0.030303057927273,1,1,0.00063925325774,1
Class16,999,999,17.636571,19.9309403549124,0.000250835903636,0,0.858875,0.355866060606061,0,0
Class17,999,999,17.636571,361.926077181818,6.5296220969697E-05,0.030303058348197,0.996741,0.446554909090909,0,0
Class18,3.75,0.39,7.716,14148.1239105455,2.74397868484848E-08,0.03030302837303,1,1,0.000483385957588,1
Class19,2.7,0.51,8.2304,3391.10889093939,9.03753099090909E-08,0.030303062410909,1,0.939393939393939,0.00060622626267,1
Class20,3.05,0.46,8.514207,5184.35291536364,6.18099895454545E-08,0.030303082308788,1,0.910439484848485,0.000577854971808,1
Class21,3.7,0.6,11.223272,3949.34125372727,4.99495736666667E-08,0.030303023161843,1,0.696756303030303,0.000506012440394,0
Class22,2.9,0.37,7.716,3467.10902075758,9.07123020909091E-08,0.030303004475758,1,1,0.00051823011969,1
Class23,999,999,14.524235,2376.24461869697,4.9244932030303E-06,0,1,0.564290818181818,0,0
Class24,999,999,16.4608,254.739717182012,1.36648554545455E-05,0.030303044165879,1,0.477251272727273,0,0
Class25,999,999,11.757714,717.631842121212,3.5335892E-07,0.030303002134485,1,0.664467848484849,0.000302235646151,0
Class26,999,999,30.863999,3.87656794993364,0.002879139433333,0,0.846643,0.24112896969697,0,0
Class27,2.95,0.51,9.496615,2479.40318936364,1.35665683030303E-07,0.030302991658152,1,0.814867424242424,0.000644952201768,1
Class28,999,999,17.636571,26.7348957114636,0.000174813636667,0.030303061651088,0.931663,0.40906903030303,0,0
Class29,999,999,14.524235,943.980454909091,2.15296410909091E-05,0.03030311262503,0.983617,0.51109896969697,0.064617598544506,0
Class30,2.4,0.4,7.716,3540.04156463636,9.96610698484849E-08,0.030302991230303,1,1,0.000629508890535,1
Class31,999,999,22.446545,23.75175765744,0.000719493319091,0,0.816716,0.311006787878788,0,0
Class32,999,999,14.524235,1912.94544469697,5.27211819393939E-06,0.030303090065758,1,0.536225909090909,0,0
Class33,2.6,0.43,7.964903,4662.96426960606,7.7616846E-08,0.030302947251515,1,0.969542363636364,0.000698153258492,1
